member_srl,ref_dt,rct_dt,dsl,dpo,label
90573,20180407,20180105,92,20.125,0
90573,20180422,20180105,107,20.125,1
90573,20180507,20180430,7,30.6666666666667,1
90573,20180522,20180511,11,28.7,1
90573,20180607,20180607,0,27.5454545454545,1
90573,20180622,20180617,5,24.9230769230769,0
90723,20170707,20170701,6,0.0,0
90723,20170722,20170701,21,0.0,0
90723,20170807,20170701,37,0.0,0
90723,20170822,20170701,52,0.0,0
90723,20170907,20170701,68,0.0,0
90723,20170922,20170701,83,0.0,0
90723,20171007,20170701,98,0.0,0
90723,20171022,20170701,113,0.0,0
90723,20171107,20170701,129,0.0,0
90723,20171122,20170701,144,0.0,0
90723,20171207,20170701,159,0.0,0
90723,20171222,20170701,174,0.0,1
90723,20180107,20180102,5,61.6666666666667,0
90723,20180122,20180102,20,61.6666666666667,0
90723,20180207,20180102,36,61.6666666666667,0
90723,20180222,20180102,51,61.6666666666667,1
90723,20180307,20180303,4,49.0,0
90723,20180322,20180303,19,49.0,1
90723,20180407,20180406,1,39.8571428571429,0
90723,20180422,20180406,16,39.8571428571429,1
90723,20180507,20180424,13,37.125,0
90723,20180522,20180424,28,37.125,0
90723,20180607,20180424,44,37.125,0
90723,20180622,20180424,59,37.125,1
91345,20170707,20170706,1,0.0,0
91345,20170722,20170706,16,0.0,1
91345,20170807,20170729,9,7.66666666666667,1
91345,20170822,20170820,2,9.0,1
91345,20170907,20170828,10,8.83333333333333,1
91345,20170922,20170916,6,10.2857142857143,1
91345,20171007,20170924,13,10.0,1
91345,20171022,20171020,2,11.7777777777778,1
91345,20171107,20171105,2,11.0909090909091,1
91345,20171122,20171113,9,10.8333333333333,1
91345,20171207,20171202,5,11.4615384615385,0
91345,20171222,20171202,20,11.4615384615385,1
91345,20180107,20171225,13,12.2857142857143,1
91345,20180122,20180120,2,13.2,1
91345,20180207,20180123,15,12.5625,0
91345,20180222,20180123,30,12.5625,1
91345,20180307,20180123,43,12.5625,1
91345,20180322,20180308,14,14.4117647058824,0
91345,20180407,20180308,30,14.4117647058824,1
91345,20180422,20180420,2,16.0,1
91345,20180507,20180423,14,15.3157894736842,1
91345,20180522,20180508,14,15.3,1
91345,20180607,20180601,6,15.0,0
91345,20180622,20180622,0,15.0,1
93954,20170707,20170703,4,0.0,0
93954,20170722,20170703,19,0.0,0
93954,20170807,20170703,35,0.0,0
93954,20170822,20170703,50,0.0,0
93954,20170907,20170906,1,32.5,0
93954,20170922,20170906,16,32.5,0
93954,20171007,20170906,31,32.5,0
93954,20171022,20170906,46,32.5,0
93954,20171107,20170906,62,32.5,0
93954,20171122,20170906,77,32.5,0
93954,20171207,20170906,92,32.5,0
93954,20171222,20170906,107,32.5,0
93954,20180107,20170906,123,32.5,1
93954,20180122,20180118,4,66.3333333333333,0
93954,20180207,20180118,20,66.3333333333333,0
93954,20180222,20180118,35,66.3333333333333,0
93954,20180307,20180118,48,66.3333333333333,0
93954,20180322,20180118,63,66.3333333333333,0
93954,20180407,20180118,79,66.3333333333333,0
93954,20180422,20180118,94,66.3333333333333,0
93954,20180507,20180118,109,66.3333333333333,0
93954,20180522,20180118,124,66.3333333333333,0
93954,20180607,20180118,140,66.3333333333333,0
93954,20180622,20180118,155,66.3333333333333,0
118897,20170707,20170702,5,0.0,0
118897,20170722,20170702,20,0.0,0
118897,20170807,20170702,36,0.0,0
118897,20170822,20170702,51,0.0,0
118897,20170907,20170702,67,0.0,0
118897,20170922,20170702,82,0.0,1
118897,20171007,20170927,10,43.5,0
118897,20171022,20170927,25,43.5,0
118897,20171107,20170927,41,43.5,0
118897,20171122,20170927,56,43.5,1
118897,20171207,20171207,0,48.0,0
118897,20171222,20171207,15,39.5,0
118897,20180107,20171207,31,39.5,1
118897,20180122,20180116,6,39.6,0
118897,20180207,20180116,22,39.6,0
118897,20180222,20180116,37,39.6,0
118897,20180307,20180116,50,39.6,0
118897,20180322,20180116,65,39.6,0
118897,20180407,20180116,81,39.6,0
118897,20180422,20180116,96,39.6,0
118897,20180507,20180116,111,39.6,0
118897,20180522,20180116,126,39.6,0
118897,20180607,20180116,142,39.6,0
118897,20180622,20180116,157,39.6,1
132264,20170722,20170711,11,0.0,0
132264,20170807,20170711,27,0.0,1
132264,20170822,20170812,10,10.6666666666667,0
132264,20170907,20170812,26,10.6666666666667,0
132264,20170922,20170812,41,10.6666666666667,1
132264,20171007,20171006,1,17.4,0
132264,20171022,20171006,16,17.4,1
132264,20171107,20171105,2,19.5,0
132264,20171122,20171105,17,19.5,0
132264,20171207,20171105,32,19.5,0
132264,20171222,20171105,47,19.5,1
132264,20180107,20180105,2,25.4285714285714,0
132264,20180122,20180105,17,25.4285714285714,1
132264,20180207,20180205,2,26.125,0
132264,20180222,20180205,17,26.125,0
132264,20180307,20180205,30,26.125,0
132264,20180322,20180205,45,26.125,1
132264,20180407,20180405,2,29.7777777777778,0
132264,20180422,20180405,17,29.7777777777778,1
132264,20180507,20180505,2,29.8,0
132264,20180522,20180505,17,29.8,0
132264,20180607,20180505,33,29.8,0
132264,20180622,20180505,48,29.8,1
148620,20180307,20180302,5,0.0,0
148620,20180322,20180302,20,0.0,0
148620,20180407,20180302,36,0.0,0
148620,20180422,20180302,51,0.0,1
149731,20170707,20170705,2,0.0,0
149731,20170722,20170705,17,0.0,0
149731,20170807,20170705,33,0.0,0
149731,20170822,20170705,48,0.0,0
149731,20170907,20170705,64,0.0,0
149731,20170922,20170705,79,0.0,1
149731,20171007,20171006,1,31.0,0
149731,20171022,20171006,16,31.0,1
149731,20171107,20171031,7,23.6,0
149731,20171122,20171031,22,23.6,1
149731,20171207,20171129,8,24.5,0
149731,20171222,20171129,23,24.5,1
149731,20180107,20171228,10,25.1428571428571,0
149731,20180122,20171228,25,25.1428571428571,0
149731,20180207,20180206,1,27.0,0
149731,20180222,20180206,16,27.0,0
149731,20180307,20180206,29,27.0,0
165889,20170722,20170721,1,0.0,0
